Output,Input
"Title: Three Little Kittens: Addition Booklet
Grade Level: Preschool - 1st Grades
Description: Language Arts, Mathematics, Operations (+, -, x, /, etc.)
Objective: Students will copy and extend patterns; use symbols in equations; solve simple equations; recognize and collects data; understand the problem; choose a problem-solving strategy; and implement a problem-solving strategy.
Directions: Before the Lesson

Prepare the addition books for each student.  Reproduce pages 54-55.  Cut the pages so that there is one addition problem per page.  The cover sheet should be on top.  Staple them along the left side with two staples in book form.  Each book should contain four pages.
Make a pair of mittens for each student or request a pair of mittens or gloves from home labeled with the student's name.  If you are making the mittens with paper, make each pair different.  Vary the colors or designs.  Try using wallpaper samples instead of construction paper for variety.  They are sturdy and can be quite colorful.  
Make a floor chart, using butcher paper or masking tape.

Procedure

Reread the nursery rhyme Three Little Kittens.
Ask the students if they have ever lost anything.  Ask them to share with the class problem-solving strategies that they used to find the items.
Have one-half of the class get out their mittens and put them into a pile.  Mix the pile and randomly hand each student from the other half of the class one mitten.  Ask the students to find the persons who have the matching mittens.
When the students have found the mates to their mittens, have them describe to their partners the properties they looked for while trying to find the mates.
Gather the mittens and put them aside.
Repeat the activity with the other half of the class' mittens.
Return the mittens to the original owners when the activity is complete.
Graph the number of mittens on the floor graph.  Discuss the results (of which are there more, of which are there fewer).
Have the students sort and pattern the mittens in cooperative groups.

Center Idea
As a follow-up activity in a math center, have the students play mitten/kitten addition.  Each student receives two dice, tiny chart stickers, and a copy of My Addition Booklet.  Students will roll the dice and add them together to explore fact strategies.  Students will then record their answers in their activity books.  Each student will have room to record three math problems.
Resources: 
, construction paper in a variety of colors, wallpaper samples, or fabric scraps, 
, tiny chart stickers with mittens or cats on them , 
, copies of the nursery rhyme Three Little Kittens, 
, My Addition Booklet patterns (see worksheet link below), 
, butcher paper or masking tape, 
, scissors, 
, pencil, 
, dice, 
","Develop a creative math activity for Preschool - 1st Grades students focused on 'playful animals learning to add', with fun challenges that span multiple days."
"Title: Ellis Island
Grade Level: Kindergarten - 3rd Grades
Description: Language Arts, Reading, Social Studies, United States History
Objective: As part of a unit on immigration, students create little books about Ellis Island.
Directions: Assembly Directions for the Layered Book

Color the illustrations.
Cut out the cover, the illustrations, and each template. 
Trace the rectangle onto the light blue paper and the three ocean pages onto the dark blue paper. 
Cut out each piece of construction paper after the templates have been traced.
Attach the text to the construction paper as follows:

Piece 1:  Glue the text of page 1 to the bottom of the largest piece of ocean. Turn the piece over and glue the text for page 2 at the bottom.



Piece 2:  Glue the Statue of Liberty to a smaller piece of ocean.  Turn the piece over and glue the text for page 4 at the bottom.



Piece 3:  Attach the other small piece of ocean to the light blue piece of construction paper (sky), lining up the bottoms and the side edges.  Place the glue for this ocean piece on the sides, not the top.  Slide the skyline behind the top edge of the ocean and glue it in place.  Place Ellis Island in the ocean, toward the bottom of page 5.

Layer from back to front as follows:  Ellis Island, Statue of Liberty, page 1, then cover.  Make sure the left and bottom edges are together.
Staple down the left side of the booklet.

Resources: 
, For each student you will need:, 
, a copy of the cover and the text pages, 
, copies of the illustrations, 
, 3 sheets of dark blue construction paper, 
, copies of the templates, 
, one sheet of light blue construction paper, 
, glue, 
","Design a social studies lesson for a Kindergarten - 3rd Grades class inspired by 'Ellis Island and immigration journeys'. The plan should include a series of historical activities, including role-play and storytelling."
"Title: Mother's Day Flowers
Grade Level: Kindergarten - 3rd Grades
Description: Art
Objective: Students use a flower pattern to create a Mother's Day gift.
Directions: 
Reproduce pattern pieces on white construction paper. 
Color and cut out all of the pieces.
If you are not planning to place the daffodil on a piece of background paper, use sturdy paper and overlap stem and leaves when gluing together.
Cut small slit on top of Flower Pot Pattern. Insert glued stem and glue to secure to pot.
Use seed packet as card.

Resources: 
, Construction Paper, 
, Crayons, 
, Scissors, 
, Glue, 
",Design a art lesson for a Kindergarten - 3rd Grades class inspired by 'creating heartfelt crafts for Mother's Day'. The plan should include an art project where students make personalized crafts over a few days.
"Title: Narrative Writing
Grade Level: 1st - 2nd Grades
Description: Language Arts, Writing, Journaling
Objective: Students will learn about writing narrative nonfiction pieces.
Directions: Nonfiction narrative writing tells a story or an event that is true.  There are two primary categories of narrative writing--personal and biographical.  A personal narrative tells about the experiences of the author.  A biographical narrative tells the story of another person by the author, whether from personal observation or from history.  The structure must be organized to tell a story either in the order it happened or in some other logical sequence.  Many narratives also include messages, morals, or lessons as part of their purpose.

On pages 161 and 162 there are two examples of narrative autobiographical writing.  The first one is called This is Your Lifeline! and the second one is called Star of the Week.  Below are directions for both.

To help you get to know the children better and to help the children get to know one another better, a perfect writing activity for the beginning of the year is the lifeline.  Give each child six index cards along with a copy of page 161.  After completing page 161, the sentences are cut apart and glued to the back of each card.  Each child brings in a photograph for every year of his or her life and glues each to the front of each corresponding card.  (You may have the child draw pictures instead of bringing in photos.)  The cards are attached together with yarn in chronological order (as shown on page 161) and displayed around the room for all to enjoy.  An optional card could be added that includes something the child may want to accomplish during the school year.

Each week in many classrooms a child is selected to be Star of the Week.  The child can be chosen by alphabetical order or in a random drawing until everyone has a turn.  To make the paper doll of the star of the week, trace an outline of the child on bulletin-board paper.  Have the child color the outline and display the cutout on the wall along with interview finish-me sentences (see page 162) about different parts of his or her body.  These sentences are completed, put on index cards, and glued or stapled to the doll.  At the end of the week, the star child takes the paper doll home to keep.
Resources: 
, 
, Quick Links, 
, 
, Blog, 
, Common Core Standards, 
, Subscribe To Our Newsletter, 
, 
, 
, Free Stuff, 
, 
, Search 400+ Lessons!, 
, Daily Brain Tickler, 
, Weekly Writing Prompt, 
, 
, 
, Monthly Spotlight, 
, 
, Free Activities, 
, Monthly Calendars, 
, 
, 
","Help me prepare a week-long language arts project for 1st - 2nd Grades that brings 'imaginative storytelling' into the classroom, with students completing engaging activities."
"Title: Math Detectives Activity: Alien Invaders!
Grade Level: 1st - 3rd Grades
Description: Language Arts, Reading, Reading Comprehension, Mathematics, Operations (+, -, x, /, etc.), Problem Solving
Objective: Students become ""math detectives"" and solve a series of story problems or word problems in order to finish an adventure.  The activity connects math and reading while reinforcing critical thinking and problem-solving skills
Directions: Introduction
What is a Problem-Solving Math Mystery?
Children love a good adventure story.  It is even more exciting if they are ""living"" and experiencing the story!The adventure is divided into several parts.  Every part has an accompanying math problem that must be solved before the student can move on to the next part of the adventure.  Five answers with five page numbers are given with every problem.  If the student chooses the correct answer, a page number is given that continues the adventure.  If the incorrect answer is chosen, a page number is given that describes a less desirable turn of events, such as being made to do a thousand pushups by an alien fitness instructor.  Then the student must return to the last problem and try again.

Work must always be shown to ensure that the child can work and understand the math problem.  (Note:  If students need more work space they can use the blank page that precedes the page to which they must return.)  When the adventure is successfully completed, the student is given an Official Expert Math Detective Badge and promoted to the next detective level. 
It is recommended that the teacher have the students work in teacher-selected groups of four that each contain a strong reader and a strong math student (or a child with good problem-solving skills) for optimum success.  The students should each have their own story book (detective's notebook) and should each be responsible for showing their work.  Remind them that they will have the assistance of other group members to figure out what is being asked and how to solve the problems.  It is also beneficial to assign jobs to each group member such as the following:

Reader (This student reads the story parts to the group.)
Recorder (This student can record notes/ideas for group on scratch paper until the final answer is found.  Then all members record the work in their individual books.)
Task Master (This student makes sure that everyone is participating and on task.)
Questioner (This student is the only one allowed to raise his or her hand for adult help and then only if no one in the group can answer the question.)

 How to Use the Book

 Assembling the Story
The book is 24 half-pages long (12 full pages).  Once a book is photocopied, it can easily be cut along the dashed lines, collated, and stapled.  Each book has illustrated pages, and each of the pages is numbered. It is recommended that three staples be used on the left-hand margin because the pages will be turned often since the problems are scattered throughout the book, not in chronological order.  (That would be too easy!)

Reading the Stories and Solving the Math Mysteries
Before students begin, model how to use the book by following these steps:

Set the scene for the stories.

    Explain that the student is a junior math detective on his or her first case.  The student detective will be embarking on a special adventure.  They will have a detective's notebook (the assembled story book) that tells their story and must be used to show all of their detective's work.  (This is best done on the blank back of the page opposite the problem.)  If they can solve each problem in the story successfully, they move on to the next part of the adventure and ultimately solve the case, get promoted, and get assigned a new mission.  If they cannot solve a problem, something unfortunate will happen to them and they will have to try the problem again!
Model how to show the work in the detective's notebook (the storybook).

    An answer alone is not sufficient.  To demonstrate understanding of the problem and its solution, the student must draw a picture, write an equation, or write a simple sentence such as ""I got the answer by using the clock model in my detectives kit.""  Remind students that they must show proof that they know how to solve the problem just like real detectives do when they file a report.
Work the first two or three problems with the students.

    If students have not been exposed to many story or word problems before, this becomes a teachable moment.  For a whole class lesson, make an overhead transparency of the problems. 

    Here are several clues to share with the class.  You may wish to post them in the classroom as reminders for students.

    Detective Clues for Solving Math Story Problems

Every problem should be carefully read two times before trying to solve it.
Look for words that give you hints on what is to be done such as ""all together"" or ""in all"" which tends to mean you add, and ""got away"" or ""loses"" which tends to imply subtraction, etc.
Use the detective's kit whenever possible.
Read all of the answers before choosing one.  At least one or two should obviously be wrong.  There are also a few problems with more than one correct answer or an ""all of the above"" option.
If you are really stuck, try working backwards.  Choose an answer that looks reasonable and try to prove it correct.  (Remind the student, however, that a picture, an equation, or a sentence showing how the correct answer was arrived at must accompany all answers.) 
Use a bookmark or self-sticking note to mark the page you are on so that you do not lose your place if you turn to a page that is not the correct answer and you have to go back and work the problem again.  Remove the bookmark only when your work is shown and you have definitely found the correct answer and the next part of the adventure.  Then place the bookmark on this new page and continue as above.
When you have found all the correct answers, highlight them on each correct page.  Then, read the story from beginning to end using only the correct pages.


    Good luck on your adventure!
Resources: 
, pencils, 
,  scissors, 
,  stapler, 
","Help me prepare a week-long math project for 1st - 3rd Grades that brings 'playful animals learning to add' into the classroom, with students completing engaging activities."
"Title: Pictograph: Birthdays
Grade Level: 1st - 3rd Grades
Description: Mathematics, Measurement (includes Time), Data Analysis and Probability
Objective: Students graph the birthdays of their classmates.
Directions: Preparation:

Reproduce the table (page 6) for students and make two overhead transparencies of it.
Enlarge the calendar circle (page 32) on poster board or make an overhead transparency of it.
Reproduce the patterns (page 32) so that each student gets one large birthday cake, enough candles to show his/her age, and about 20 small birthday cakes.
Reproduce the pictograph (page 33).

Directions:

Ask each student to sign her/his name on the calendar circle to show in which month she/he was born.  Encourage the class to help you count the number of students who have birthdays during each month.  Use the overhead transparency of the table to record the data, as shown below.  Ask students to record the data on their copies of the table.



BIRTHDAYS


 Month 
 Number of Students 


 January   
 1   


 February   
 2   


 March   
 2   


 April   
 3   


 May   
 0   


 June   
 3   


 July   
 1   


 August   
 1   


 September   
 2   


 October   
 4   


 November   
 3   


 December   
 2   



Use the floor or wall graph to model the activity.  To make the key, use a large birthday cake pattern to show that each cake represents one student who has a birthday during that month.
Provide each student with a large birthday cake pattern and enough candles to show her/his age.  Ask students to glue the candles onto their cakes.  Have students place the large cakes in the appropriate sections of the graph, making sure they are aligned vertically.
Have students use the data and the small cake patterns to create their pictographs.  Remind them to align the cakes.  Encourage students to count by twos to compress the data.
Ask students questions about the graph to check their understanding.

Extension Activities:

Have each student write the day of her/his birth on a large cake pattern.  Ask students to help you arrange the cakes in numerical order for each month on the wall or floor graph.
Teach students the abbreviations for the months of the year.
Ask students to make graphs that show the months in which their family members were born.

Resources: 
, pencils, 
, crayons, 
, scissors, 
, Birthdays activity pages, 
","Help me prepare a week-long creative learning project for 1st - 3rd Grades that brings 'an adventure with a special theme' into the classroom, with students completing engaging activities."
"Title: Color the Quilt: Addition
Grade Level: 1st - 3rd Grades
Description: Mathematics, Operations (+, -, x, /, etc.)
Objective: Students practice two-digit addition without regrouping.
Directions: Introduce to students the idea of adding numbers with two digits together.  Use the following as an example.
Marty and Karen collect stuffed bears.  Marty has 4; Karen has 5. How many bears do they have?  Simple!
You just add
              4             +5             --the answer is 9

If Marty and Karen continue to collect stuffed bears, and Marty has 40 and Karen has 50, how many bears will they have?
The numbers are larger, but you can add them just as simply.
First: Add the two numbers in the ones column.
  tens  ones       40      +50       --        0

Second: Add the two numbers in the tens column.
 tens  ones    40   +50    --    90

You have your answer just like that!
Distribute the activity sheet and have students practice what they have learned.
Resources: 
, Color the Quilt activity sheet, 
, pencils, 
, red, yellow, blue, and green crayons, 
","Help me prepare a week-long math project for 1st - 3rd Grades that brings 'playful animals learning to add' into the classroom, with students completing engaging activities."
"Title: Count Coins and Bills
Grade Level: 1st - 3rd Grades
Description: Mathematics, Measurement (includes Time), Problem Solving
Objective: Students will learn the names and values of different denominations of paper money ($1, $5, $10, and $20), count sets of money that include both coins and bills, complete a money chart, and read and solve word problems.
Directions: 

Using the coins, have the children show you the different combinations of coins that can be used to make $1.  Chart the different combinations on butcher paper or poster board.  (See the example below.)
Go over the practice pages with the children.  When doing the magazine subscription practice page on page 32, model for the children how to read and solve each word problem and then place this information on the graph.





Many Ways Can $1.00 Be Made?



            pennies


            nickels


            dimes


            quarters


            half dollars


            coins used




            10


            1


            1


            1


            1


            14




            5


            5


            2


            2


            0


            14




















































































Resources: 
, several copies of the paper coins and bills activity pages, 
, scratch paper (for counting groups of money), 
, large piece of butcher paper or poster board, 
","I need a multi-day creative learning unit for 1st - 3rd Grades students, themed around 'an adventure with a special theme', with activities that encourage exploration and mastery."
"Title: Counting More or Less
Grade Level: 1st - 3rd Grades
Description: Mathematics, Algebra and Function, Problem Solving
Objective: Students learn about the concept of greater than and less than.
Directions: Teaching the Lesson
Before doing the activities, practice counting from 0 to 10 with the children.  Ask the children to show you a certain number of fingers or counters or to draw a certain number of stars, happy faces, circles, etc.  (For example: ""Show me 3 fingers"" or ""Show me 7 toothpicks."")
Introduce the concept of greater than and less than through the use of pictures.  Go over the vocabulary with the children and have them show you ""more than 5 fingers"" or ""less than 2 fingers,"" etc., before beginning the activity.

Extension Idea
Have the children make flashcards using 3"" x 5"" (8 cm x 13 cm) index cards and stamps or stickers.  Place a specific number of stamps or stickers on each card and write the corresponding number on the back.  The children can count the items and then check their counting by reading the number on the back.  They can also make the corresponding number of items on a separate sheet of paper.
Resources: 
, a number line to 10, made from a sentence strip, a piece of 2"" x 18"" , 
, (5 cm x 46 cm) construction paper, or written across the top of the page, 
, counters (bottle caps, pennies, counting cubes, paper clips, buttons, craft sticks, beans, etc.), 
, pattern blocks, 
, pencils, 
, Counting More or Less activity sheet, 
","Help me prepare a week-long creative learning project for 1st - 3rd Grades that brings 'an adventure with a special theme' into the classroom, with students completing engaging activities."
"Title: Drawing Word Problems
Grade Level: 1st - 3rd Grades
Description: Mathematics, Problem Solving
Objective: Students learn a three-step process to solve word problems.
Directions: Introduce the following information and examples to students.
A word problem tells about related facts and then asks a question.  A fact is information that is true.  A question is something that is asked and needs an answer.
The first step to solving a word problem is to read the problem a few times to find out the facts and the question.  Look for words in the problem that may give clues about whether to add, subtract, multiply, or divide.  This will help to find the answer.  Some of the words follow.
Addition: addends, all together, in all, many, more, sum, total
Subtraction: difference, fewer, left, many, more
Multiplication: factor, groups, how many, in all, multiple, product
Division: group, how many, in all, quotient, remainder, separate
The second step to solving a word problem is to name the words that give you clues about whether to add, subtract, multiply, or divide to solve the word problem.
Give students the following examples and ask if they know what they would need to do to solve the problem.
David has 15 baseball cards.  His brother gave him 15 more baseball cards.  How many in all? 
In the football game, Anthony scored 12 points.  Then he scored 18 more points.  What was the total number of points he scored? 
The third step to solving a word problem is to draw a picture to show the solution, or use real items to solve the problem.  In the following example, you could draw apples or use real ones.
Alyssa picked three baskets of apples.  Each basket had 14 apples.  How many apples were there in all?
The final step to solving a word problem is to look at the drawing or real-life example, write out the math sentence that it represents, and solve the problem.  For the apple problem, this step would be
14 + 14 + 14 = 42 apples
Distribute copies of the Drawing Word Problems activity sheet to students and have them follow the steps to solve the problems on the page.
Resources: 
, Drawing Word Problems activity sheet (one per student), 
, pencils, 
",Design a creative learning lesson for a 1st - 3rd Grades class inspired by 'an adventure with a special theme'. The plan should include a unique set of engaging activities designed to captivate student interest.
